date.yyyymmdd	Qsim	Qobs	Pobs	Psim	Temp	act.ET	pot.ET	snow	SM	rcharge	STZ	SUZ	SLZ	Q.K0	Q.K1	Q.K2
1960-01-01	0.153	0.146	0	NA	7.3	0.87	1.05	0	160.3	0	0	2.9	38.9	0	0.181	0.073
1960-01-02	0.148	0.146	0	0.04	6.5	0.84	1.01	0	159.5	0	0	2.7	38.9	0	0.17	0.073
1960-01-03	0.144	0.143	0	0.02	8.5	0.92	1.12	0	158.6	0	0	2.6	38.8	0	0.16	0.073
1960-01-04	0.14	0.154	0	-0.05	9	0.95	1.16	0	157.6	0	0	2.4	38.8	0	0.151	0.073
1960-01-05	0.136	0.148	0	0.05	9.1	0.95	1.17	0	156.7	0	0	2.3	38.8	0	0.142	0.073
1960-01-06	0.133	0.154	0.6	0.62	8.4	0.92	1.14	0	156.3	0.1	0	2.2	38.7	0	0.134	0.073
1960-01-07	0.13	0.154	0	-0.07	6.2	0.83	1.03	0	155.4	0	0	2.1	38.7	0	0.128	0.073
1960-01-08	0.128	0.148	0.9	0.92	6	0.82	1.02	0	155.4	0.1	0	2.1	38.6	0	0.123	0.073
1960-01-09	0.129	0.146	8.6	8.61	5.2	0.81	0.99	0	161.8	1.4	0	2.9	38.6	0	0.126	0.073
1960-01-10	0.139	0.133	6.2	6.2	2.1	0.7	0.83	0	166.2	1.1	0	3.5	38.6	0	0.15	0.073
1960-01-11	0.153	0.139	3.8	1.86	-3.3	0.46	0.54	1.9	165.7	0	0	3.3	38.6	0	0.181	0.073
1960-01-12	0.159	0.143	0.8	0.4	-1.5	0	0.64	2.3	165.7	0	0	3.1	38.6	0	0.193	0.073
1960-01-13	0.157	0.194	0.9	0.9	1.9	0	0.83	0	168.3	0.6	0	3.3	38.6	0	0.19	0.073
1960-01-14	0.157	0.193	1.1	0.52	-0.3	0.62	0.71	0.5	167.7	0	0	3.2	38.6	0	0.188	0.073
1960-01-15	0.156	0.194	0.4	0.2	-1.8	0	0.64	0.7	167.7	0	0	3	38.6	0	0.186	0.073
1960-01-16	0.152	0.186	0.3	0.2	-1.8	0	0.64	0.9	167.7	0	0	2.8	38.6	0	0.178	0.073
1960-01-17	0.148	0.172	1.1	0.5	-0.2	0	0.74	1.4	167.7	0	0	2.7	38.6	0	0.167	0.073
1960-01-18	0.145	0.164	2.2	2.2	1	0	0.82	0	170.6	0.7	0	3	38.6	0	0.161	0.073
1960-01-19	0.146	0.167	0.5	0.5	4.2	0.9	1.02	0	170.1	0.1	0	2.9	38.6	0	0.164	0.073
1960-01-20	0.148	0.172	0.1	0.11	6.1	1.01	1.15	0	169.2	0	0	2.7	38.6	0	0.166	0.073
1960-01-21	0.146	0.186	0.1	0.09	5.5	0.99	1.14	0	168.3	0	0	2.6	38.6	0	0.162	0.073
1960-01-22	0.142	0.19	0.2	0.11	5.7	1.01	1.17	0	167.4	0	0	2.5	38.6	0	0.153	0.073
1960-01-23	0.14	0.186	4.2	4.14	7.6	1.14	1.31	0	169.6	0.8	0	2.9	38.6	0	0.149	0.073
1960-01-24	0.146	0.186	6.8	6.73	8.6	1.23	1.39	0	173.8	1.3	0	3.6	38.6	0	0.161	0.073
1960-01-25	0.164	0.18	12.8	12.85	7.7	1.25	1.36	0	182.6	2.8	0	5.3	38.7	0	0.201	0.073
1960-01-26	0.198	0.183	12.2	12.13	7.9	1.33	1.39	0	190.4	3	0	6.9	38.9	0	0.277	0.073
1960-01-27	0.239	0.215	3	3.04	7.5	1.34	1.38	0	191.3	0.8	0	7	39	0	0.366	0.073
1960-01-28	0.264	2.296	0.6	0.59	6.5	1.29	1.33	0	190.4	0.2	0	6.7	39.1	0	0.42	0.073
1960-01-29	0.266	0.697	0.1	0.14	5.6	1.24	1.29	0	189.3	0	0	6.4	39.2	0	0.423	0.074
1960-01-30	0.258	0.558	0	-0.04	4.3	1.16	1.21	0	188.1	0	0	6	39.3	0	0.404	0.074
1960-01-31	0.248	0.459	0	0	4.7	1.2	1.26	0	186.9	0	0	5.7	39.4	0	0.38	0.074
1960-02-01	0.237	0.459	0	0	4.6	1.2	1.27	0	185.7	0	0	5.3	39.5	0	0.356	0.074
1960-02-02	0.228	0.345	0	0.02	4.6	1.22	1.28	0	184.5	0	0	5	39.5	0	0.334	0.074
1960-02-03	0.219	0.319	0.7	0.74	6.1	1.34	1.42	0	183.7	0.2	0	4.8	39.6	0	0.314	0.074
1960-02-04	0.215	0.319	4.6	4.57	6.3	1.37	1.45	0	185.8	1.1	0	5.3	39.8	0	0.304	0.075
1960-02-05	0.22	0.316	6	5.97	5.9	1.37	1.44	0	189	1.4	0	6	39.9	0	0.314	0.075
1960-02-06	0.233	0.315	1.8	1.79	5.9	1.39	1.45	0	189	0.4	0	5.9	40.1	0	0.34	0.075
1960-02-07	0.241	0.327	0.6	0.65	2.7	1.15	1.21	0	188.3	0.2	0	5.7	40.2	0	0.357	0.075
1960-02-08	0.24	0.335	2	2.03	1	1.03	1.08	0	188.8	0.5	0	5.7	40.3	0	0.354	0.076
1960-02-09	0.239	0.419	3.9	3.86	1.2	1.06	1.11	0	190.6	1	0	6	40.4	0	0.351	0.076
1960-02-10	0.246	0.385	6.4	6.42	2.9	1.22	1.27	0	194.2	1.6	0	6.7	40.5	0	0.363	0.076
1960-02-11	0.259	0.419	2.6	2.55	4.3	1.35	1.4	0	194.7	0.7	0	6.8	40.5	0	0.391	0.076
1960-02-12	0.273	0.605	6.3	6.31	4.8	1.41	1.46	0	197.9	1.7	0	7.5	40.7	0	0.42	0.076
1960-02-13	0.291	0.617	9	9.01	5.8	1.51	1.56	0	202.8	2.6	0	8.8	40.8	0	0.458	0.076
1960-02-14	0.319	0.558	6.5	6.39	6.4	1.59	1.63	0	205.7	1.9	0	9.6	41	0	0.517	0.077
1960-02-15	0.349	0.697	4.2	4.14	7.8	1.74	1.79	0	206.8	1.3	0	9.8	41.2	0	0.577	0.077
1960-02-16	0.369	0.774	4.9	4.94	10.8	2.04	2.1	0	208.2	1.5	0	10.3	41.4	0	0.618	0.077
1960-02-17	0.386	2.086	8.1	7.95	11.6	2.15	2.21	0	211.4	2.6	0	11.4	41.7	0	0.653	0.078
1960-02-18	0.414	2.086	9	8.97	10.3	2.07	2.12	0	215.3	3	0	12.7	42.1	0	0.708	0.078
1960-02-19	0.449	2.425	4.8	4.86	7.8	1.86	1.9	0	216.6	1.7	0	13	42.4	0	0.779	0.079
1960-02-20	0.482	2.689	8.8	8.79	6.8	1.79	1.83	0	220.5	3.1	0	14.3	42.8	0	0.844	0.08
1960-02-21	0.515	2.086	8.3	8.29	7.5	1.89	1.92	0	223.8	3.1	0	15.5	43.2	0	0.91	0.08
1960-02-22	0.548	2.425	1.7	1.55	6.9	1.85	1.89	0	222.9	0.6	0	15	43.6	0	0.974	0.081
1960-02-23	0.56	2.086	0.4	0.34	7.6	1.94	1.99	0	221.2	0.1	0	14.1	44	0	0.993	0.082
1960-02-24	0.544	2.601	0	-0.01	9.7	2.19	2.24	0	219	0	0	13.3	44.4	0	0.957	0.083
1960-02-25	0.518	2.425	0	0.04	10.9	2.34	2.41	0	216.7	0	0	12.4	44.7	0	0.899	0.083
1960-02-26	0.492	2.086	0	-0.07	10.6	2.33	2.4	0	214.3	0	0	11.7	45.1	0	0.84	0.084
1960-02-27	0.466	1.983	0	0.05	12.4	2.55	2.64	0	211.8	0	0	11	45.3	0	0.785	0.085
1960-02-28	0.443	0.995	0	0.01	15.4	2.91	3.03	0	208.9	0	0	10.3	45.6	0	0.733	0.085
1960-02-29	0.421	0.995	0	-0.04	13.3	2.66	2.78	0	206.2	0	0	9.7	45.8	0	0.685	0.086
1960-03-01	0.4	0.944	0	-0.07	11.1	2.43	2.55	0	203.7	0	0	9.1	46	0	0.641	0.086
1960-03-02	0.381	0.893	0	0.07	11.3	2.47	2.6	0	201.3	0	0	8.6	46.1	0	0.599	0.086
1960-03-03	0.363	0.872	0	-0.06	10.9	2.44	2.58	0	198.8	0	0	8.1	46.2	0	0.56	0.087
1960-03-04	0.346	0.784	0	0	12.1	2.6	2.76	0	196.2	0	0	7.6	46.3	0	0.524	0.087
1960-03-05	0.33	0.784	0.3	0.32	13	2.72	2.91	0	193.7	0.1	0	7.2	46.3	0	0.491	0.087
1960-03-06	0.317	0.652	1.2	1.25	11.4	2.55	2.73	0	192.1	0.3	0	7	46.3	0	0.463	0.087
1960-03-07	0.311	0.629	6.7	6.67	9.8	2.37	2.54	0	194.8	1.6	0	7.6	46.3	0	0.449	0.087
1960-03-08	0.316	0.617	5.3	5.26	10.2	2.46	2.62	0	196.3	1.3	0	8	46.3	0	0.461	0.087
1960-03-09	0.33	0.652	4	4.03	9	2.33	2.48	0	197	1	0	8.2	46.3	0	0.489	0.087
1960-03-10	0.34	0.67	3.5	3.53	7.3	2.13	2.27	0	197.5	0.9	0	8.3	46.3	0	0.51	0.087
1960-03-11	0.348	0.995	5.7	5.75	7.3	2.15	2.28	0	199.6	1.5	0	8.8	46.3	0	0.526	0.087
1960-03-12	0.358	0.697	5.1	5	8.3	2.3	2.44	0	201	1.3	0	9.2	46.4	0	0.546	0.087
1960-03-13	0.371	0.697	5.3	5.27	7.9	2.27	2.4	0	202.6	1.4	0	9.6	46.5	0	0.572	0.087
1960-03-14	0.382	0.793	1.9	1.88	8.6	2.38	2.52	0	201.6	0.5	0	9.4	46.6	0	0.594	0.088
1960-03-15	0.384	1.431	0.5	0.48	7.8	2.28	2.42	0	199.7	0.1	0	8.9	46.7	0	0.597	0.088
1960-03-16	0.375	1.539	0.2	0.09	7.9	2.29	2.44	0	197.5	0	0	8.4	46.8	0	0.578	0.088
1960-03-17	0.36	0.995	0	0.02	9.5	2.52	2.69	0	195	0	0	7.9	46.8	0	0.546	0.088
1960-03-18	0.344	0.793	0	0	12.2	2.9	3.12	0	192.1	0	0	7.4	46.9	0	0.513	0.088
1960-03-19	0.329	0.617	0	-0.08	13.8	3.12	3.39	0	188.9	0	0	7	47	0	0.48	0.088
1960-03-20	0.314	0.586	0.4	0.39	14.4	3.19	3.51	0	186	0.1	0	6.7	47.1	0	0.45	0.088
1960-03-21	0.302	0.586	0.3	0.42	13.2	3.02	3.34	0	183.3	0.1	0	6.3	47.1	0	0.424	0.089
1960-03-22	0.291	0.697	1	1.04	9.9	2.54	2.84	0	181.6	0.2	0	6.1	47.2	0	0.401	0.089
1960-03-23	0.284	0.558	4.7	4.64	10.5	2.64	2.95	0	182.7	0.9	0	6.3	47.3	0	0.386	0.089
1960-03-24	0.284	0.505	5.8	5.76	11.1	2.76	3.07	0	184.5	1.2	0	6.7	47.3	0	0.388	0.089
1960-03-25	0.293	0.558	5.4	5.39	9.1	2.49	2.76	0	186.3	1.1	0	7.1	47.4	0	0.406	0.089
1960-03-26	0.307	0.617	9	8.95	8.6	2.45	2.69	0	190.9	1.9	0	8	47.5	0	0.434	0.089
