####################### 2 ########################
#WSYS UKJENT
#OPER koe
#RTIM 20160217/0808
#DCHA 22.22.0.1001.1           -9999 3.1001.0       -9999        -9999.000000 -9999        -9999.000000   1440.000    0.00000 UKJENT                        HYDAG              
##################################################
19730101/1200 -9999.000000
19730102/1200 -9999.000000
19730103/1200 -9999.000000
19730104/1200 -9999.000000
19730105/1200 -9999.000000
19730106/1200 -9999.000000
19730107/1200 -9999.000000
19730108/1200 -9999.000000
19730109/1200 -9999.000000
19730110/1200 -9999.000000
19730111/1200 -9999.000000
19730112/1200 -9999.000000
19730113/1200 -9999.000000
19730114/1200 -9999.000000
19730115/1200 -9999.000000
19730116/1200 -9999.000000
19730117/1200 -9999.000000
19730118/1200 -9999.000000
19730119/1200 -9999.000000
19730120/1200 -9999.000000
19730121/1200 -9999.000000
19730122/1200 -9999.000000
19730123/1200 -9999.000000
19730124/1200 -9999.000000
19730125/1200 -9999.000000
19730126/1200 -9999.000000
19730127/1200 -9999.000000
19730128/1200 -9999.000000
19730129/1200 -9999.000000
19730130/1200 -9999.000000
19730131/1200 -9999.000000
19730201/1200 -9999.000000
19730202/1200 -9999.000000
19730203/1200 -9999.000000
19730204/1200 -9999.000000
19730205/1200 -9999.000000
19730206/1200 -9999.000000
19730207/1200 -9999.000000
19730208/1200 -9999.000000
19730209/1200 -9999.000000
19730210/1200 -9999.000000
19730211/1200 -9999.000000
19730212/1200 -9999.000000
19730213/1200 -9999.000000
19730214/1200 -9999.000000
19730215/1200 -9999.000000
19730216/1200 -9999.000000
19730217/1200 -9999.000000
19730218/1200 -9999.000000
19730219/1200 -9999.000000
19730220/1200 -9999.000000
19730221/1200 -9999.000000
19730222/1200 -9999.000000
19730223/1200 -9999.000000
19730224/1200 -9999.000000
19730225/1200 -9999.000000
19730226/1200 -9999.000000
19730227/1200 -9999.000000
19730228/1200 -9999.000000
19730301/1200 -9999.000000
19730302/1200 -9999.000000
19730303/1200 -9999.000000
19730304/1200 -9999.000000
19730305/1200 -9999.000000
19730306/1200 -9999.000000
19730307/1200 -9999.000000
19730308/1200 -9999.000000
19730309/1200 -9999.000000
19730310/1200 -9999.000000
19730311/1200 -9999.000000
19730312/1200 -9999.000000
19730313/1200 -9999.000000
19730314/1200 -9999.000000
19730315/1200 -9999.000000
19730316/1200 -9999.000000
19730317/1200 -9999.000000
19730318/1200 -9999.000000
19730319/1200 -9999.000000
19730320/1200 -9999.000000
19730321/1200 -9999.000000
19730322/1200 -9999.000000
19730323/1200 -9999.000000
19730324/1200 -9999.000000
19730325/1200 -9999.000000
19730326/1200 -9999.000000
19730327/1200 -9999.000000
19730328/1200 -9999.000000
19730329/1200 -9999.000000
19730330/1200 -9999.000000
19730331/1200 -9999.000000
19730401/1200 -9999.000000
19730402/1200 -9999.000000
19730403/1200 -9999.000000
19730404/1200 -9999.000000
19730405/1200 -9999.000000
19730406/1200 -9999.000000
19730407/1200 -9999.000000
19730408/1200 -9999.000000
19730409/1200 -9999.000000
19730410/1200 -9999.000000
19730411/1200 -9999.000000
19730412/1200 -9999.000000
19730413/1200 -9999.000000
19730414/1200 -9999.000000
19730415/1200 -9999.000000
19730416/1200 -9999.000000
19730417/1200 -9999.000000
19730418/1200 -9999.000000
19730419/1200 -9999.000000
19730420/1200 -9999.000000
19730421/1200 -9999.000000
19730422/1200 -9999.000000
19730423/1200 -9999.000000
19730424/1200 -9999.000000
19730425/1200 -9999.000000
19730426/1200 -9999.000000
19730427/1200 -9999.000000
19730428/1200 -9999.000000
19730429/1200 -9999.000000
19730430/1200 -9999.000000
19730501/1200 -9999.000000
19730502/1200 -9999.000000
19730503/1200 -9999.000000
19730504/1200 -9999.000000
19730505/1200 -9999.000000
19730506/1200 -9999.000000
19730507/1200 -9999.000000
19730508/1200 -9999.000000
19730509/1200 -9999.000000
19730510/1200 -9999.000000
19730511/1200 -9999.000000
19730512/1200 -9999.000000
19730513/1200 -9999.000000
19730514/1200 -9999.000000
19730515/1200 -9999.000000
19730516/1200 -9999.000000
19730517/1200 -9999.000000
19730518/1200 -9999.000000
19730519/1200 -9999.000000
19730520/1200 -9999.000000
19730521/1200 -9999.000000
19730522/1200 -9999.000000
19730523/1200 -9999.000000
19730524/1200 -9999.000000
19730525/1200 -9999.000000
19730526/1200 -9999.000000
19730527/1200 -9999.000000
19730528/1200 -9999.000000
19730529/1200 -9999.000000
19730530/1200 -9999.000000
19730531/1200 -9999.000000
19730601/1200 -9999.000000
19730602/1200 -9999.000000
19730603/1200 -9999.000000
19730604/1200 -9999.000000
19730605/1200 -9999.000000
19730606/1200 -9999.000000
19730607/1200 -9999.000000
19730608/1200 -9999.000000
19730609/1200 -9999.000000
19730610/1200 -9999.000000
19730611/1200 -9999.000000
19730612/1200 -9999.000000
19730613/1200 -9999.000000
19730614/1200 -9999.000000
19730615/1200 -9999.000000
19730616/1200 -9999.000000
19730617/1200 -9999.000000
19730618/1200 -9999.000000
19730619/1200 -9999.000000
19730620/1200 -9999.000000
19730621/1200 -9999.000000
19730622/1200 -9999.000000
19730623/1200 -9999.000000
19730624/1200 -9999.000000
19730625/1200 -9999.000000
19730626/1200 -9999.000000
19730627/1200 -9999.000000
19730628/1200 -9999.000000
19730629/1200 -9999.000000
19730630/1200 -9999.000000
19730701/1200 -9999.000000
19730702/1200 -9999.000000
19730703/1200 -9999.000000
19730704/1200 -9999.000000
19730705/1200 -9999.000000
19730706/1200 -9999.000000
19730707/1200 -9999.000000
19730708/1200 -9999.000000
19730709/1200 -9999.000000
19730710/1200 -9999.000000
19730711/1200 -9999.000000
19730712/1200 -9999.000000
19730713/1200 -9999.000000
19730714/1200 -9999.000000
19730715/1200 -9999.000000
19730716/1200 -9999.000000
19730717/1200 -9999.000000
19730718/1200 -9999.000000
19730719/1200 -9999.000000
19730720/1200 -9999.000000
19730721/1200 -9999.000000
19730722/1200 -9999.000000
19730723/1200 -9999.000000
19730724/1200 -9999.000000
19730725/1200 -9999.000000
19730726/1200 -9999.000000
19730727/1200 -9999.000000
19730728/1200 -9999.000000
19730729/1200 -9999.000000
19730730/1200 -9999.000000
19730731/1200 -9999.000000
19730801/1200 -9999.000000
19730802/1200 -9999.000000
19730803/1200 -9999.000000
19730804/1200 -9999.000000
19730805/1200 -9999.000000
19730806/1200 -9999.000000
19730807/1200 -9999.000000
19730808/1200 -9999.000000
19730809/1200 -9999.000000
19730810/1200 -9999.000000
19730811/1200 -9999.000000
19730812/1200 -9999.000000
19730813/1200 -9999.000000
19730814/1200 -9999.000000
19730815/1200 -9999.000000
19730816/1200 -9999.000000
19730817/1200 -9999.000000
19730818/1200 -9999.000000
19730819/1200 -9999.000000
19730820/1200 -9999.000000
19730821/1200 -9999.000000
19730822/1200 -9999.000000
19730823/1200 -9999.000000
19730824/1200 -9999.000000
19730825/1200 -9999.000000
19730826/1200 -9999.000000
19730827/1200 -9999.000000
19730828/1200 -9999.000000
19730829/1200 -9999.000000
19730830/1200 -9999.000000
19730831/1200 -9999.000000
19730901/1200 -9999.000000
19730902/1200 -9999.000000
19730903/1200 -9999.000000
19730904/1200 -9999.000000
19730905/1200 -9999.000000
19730906/1200 -9999.000000
19730907/1200 -9999.000000
19730908/1200 -9999.000000
19730909/1200 -9999.000000
19730910/1200 -9999.000000
19730911/1200 -9999.000000
19730912/1200 -9999.000000
19730913/1200 -9999.000000
19730914/1200 -9999.000000
19730915/1200 -9999.000000
19730916/1200 -9999.000000
19730917/1200 -9999.000000
19730918/1200 -9999.000000
19730919/1200 -9999.000000
19730920/1200 -9999.000000
19730921/1200 -9999.000000
19730922/1200 -9999.000000
19730923/1200 -9999.000000
19730924/1200 -9999.000000
19730925/1200 -9999.000000
19730926/1200 -9999.000000
19730927/1200 -9999.000000
19730928/1200 -9999.000000
19730929/1200 -9999.000000
19730930/1200 -9999.000000
19731001/1200 -9999.000000
19731002/1200 -9999.000000
19731003/1200 -9999.000000
19731004/1200 -9999.000000
19731005/1200 -9999.000000
19731006/1200 -9999.000000
19731007/1200 -9999.000000
19731008/1200 -9999.000000
19731009/1200 -9999.000000
19731010/1200 -9999.000000
19731011/1200 -9999.000000
19731012/1200 -9999.000000
19731013/1200 -9999.000000
19731014/1200 -9999.000000
19731015/1200 -9999.000000
19731016/1200 -9999.000000
19731017/1200 -9999.000000
19731018/1200 -9999.000000
19731019/1200 -9999.000000
19731020/1200 -9999.000000
19731021/1200 -9999.000000
19731022/1200 -9999.000000
19731023/1200 -9999.000000
19731024/1200 -9999.000000
19731025/1200 -9999.000000
19731026/1200 -9999.000000
19731027/1200 -9999.000000
19731028/1200 -9999.000000
19731029/1200 -9999.000000
19731030/1200 -9999.000000
19731031/1200 -9999.000000
19731101/1200 -9999.000000
19731102/1200 -9999.000000
19731103/1200 -9999.000000
19731104/1200 -9999.000000
19731105/1200 -9999.000000
19731106/1200 -9999.000000
19731107/1200 -9999.000000
19731108/1200 -9999.000000
19731109/1200 -9999.000000
19731110/1200 -9999.000000
19731111/1200 -9999.000000
19731112/1200 -9999.000000
19731113/1200 -9999.000000
19731114/1200 -9999.000000
19731115/1200 -9999.000000
19731116/1200 -9999.000000
19731117/1200 -9999.000000
19731118/1200 -9999.000000
19731119/1200 -9999.000000
19731120/1200 -9999.000000
19731121/1200 -9999.000000
19731122/1200 -9999.000000
19731123/1200 -9999.000000
19731124/1200 -9999.000000
19731125/1200 -9999.000000
19731126/1200 -9999.000000
19731127/1200 -9999.000000
19731128/1200 -9999.000000
19731129/1200 -9999.000000
19731130/1200 -9999.000000
19731201/1200 -9999.000000
19731202/1200 -9999.000000
19731203/1200 -9999.000000
19731204/1200 -9999.000000
19731205/1200 -9999.000000
19731206/1200 -9999.000000
19731207/1200 -9999.000000
19731208/1200 -9999.000000
19731209/1200 -9999.000000
19731210/1200 -9999.000000
19731211/1200 -9999.000000
19731212/1200 -9999.000000
19731213/1200 -9999.000000
19731214/1200 10.760045
19731215/1200 6.869070
19731216/1200 6.028706
19731217/1200 5.634097
19731218/1200 3.803568
19731219/1200 3.904954
19731220/1200 5.013284
19731221/1200 4.777608
19731222/1200 4.437368
19731223/1200 4.008024
19731224/1200 3.703854
19731225/1200 3.321490
19731226/1200 3.140043
19731227/1200 3.904954
19731228/1200 12.138922
19731229/1200 11.151278
19731230/1200 25.540646
19731231/1200 29.121950
19740101/1200 14.276036
19740102/1200 9.638518
19740103/1200 7.315408
19740104/1200 5.763768
19740105/1200 5.380295
19740106/1200 6.028706
19740107/1200 7.938291
19740108/1200 8.933492
19740109/1200 7.468132
19740110/1200 9.106595
19740111/1200 9.820065
19740112/1200 16.942717
19740113/1200 37.110596
19740114/1200 60.513206
19740115/1200 56.938271
19740116/1200 40.970039
19740117/1200 23.483551
19740118/1200 15.396373
19740119/1200 20.636345
19740120/1200 21.713875
19740121/1200 20.000471
19740122/1200 16.355860
19740123/1200 14.276036
19740124/1200 24.389223
19740125/1200 18.958570
19740126/1200 16.355860
19740127/1200 21.280214
19740128/1200 22.151052
19740129/1200 29.367399
19740130/1200 20.423496
19740131/1200 21.713875
19740201/1200 21.064705
19740202/1200 18.958570
19740203/1200 21.280214
19740204/1200 27.907188
19740205/1200 20.636345
19740206/1200 18.141285
19740207/1200 13.728712
19740208/1200 9.281795
19740209/1200 7.938291
19740210/1200 7.468132
19740211/1200 28.148472
19740212/1200 71.405090
19740213/1200 49.446049
19740214/1200 23.259293
19740215/1200 15.969261
19740216/1200 13.190041
19740217/1200 12.835765
19740218/1200 11.151278
19740219/1200 8.593530
19740220/1200 6.869070
19740221/1200 6.440267
19740222/1200 6.440267
19740223/1200 7.779563
19740224/1200 6.301178
19740225/1200 5.506277
19740226/1200 5.013284
19740227/1200 4.662436
19740228/1200 4.219261
19740301/1200 3.703854
19740302/1200 3.509396
19740303/1200 3.414630
19740304/1200 3.321490
19740305/1200 3.051712
19740306/1200 2.714071
19740307/1200 2.633522
19740308/1200 2.253348
19740309/1200 2.400951
19740310/1200 1.975575
19740311/1200 2.253348
19740312/1200 2.042869
19740313/1200 1.909692
19740314/1200 1.845209
19740315/1200 1.720392
19740316/1200 2.111589
19740317/1200 2.326413
19740318/1200 4.112789
19740319/1200 11.967166
19740320/1200 13.910196
19740321/1200 13.190041
19740322/1200 12.485386
19740323/1200 9.638518
19740324/1200 7.779563
19740325/1200 6.440267
19740326/1200 5.634097
19740327/1200 5.133811
19740328/1200 4.437368
19740329/1200 4.437368
19740330/1200 4.549026
19740331/1200 4.549026
19740401/1200 4.777608
19740402/1200 4.662436
19740403/1200 4.777608
19740404/1200 4.549026
19740405/1200 4.327450
19740406/1200 4.219261
19740407/1200 4.112789
19740408/1200 4.008024
19740409/1200 3.605800
19740410/1200 3.140043
19740411/1200 2.633522
19740412/1200 2.253348
19740413/1200 2.181744
19740414/1200 2.111589
19740415/1200 1.975575
19740416/1200 1.782113
19740417/1200 1.660033
19740418/1200 1.543353
19740419/1200 1.431973
19740420/1200 1.378237
19740421/1200 1.325789
19740422/1200 1.378237
19740423/1200 1.325789
19740424/1200 1.176034
19740425/1200 1.082394
19740426/1200 1.082394
19740427/1200 1.082394
19740428/1200 1.037393
19740429/1200 0.950966
19740430/1200 0.909512
19740501/1200 0.869215
19740502/1200 0.792032
19740503/1200 0.719309
19740504/1200 0.719309
19740505/1200 0.684586
19740506/1200 0.684586
19740507/1200 0.650937
19740508/1200 0.618348
19740509/1200 0.618348
19740510/1200 0.586805
19740511/1200 0.586805
19740512/1200 0.556294
19740513/1200 0.556294
19740514/1200 0.526801
19740515/1200 0.498311
19740516/1200 0.498311
19740517/1200 0.470811
19740518/1200 0.470811
19740519/1200 0.470811
19740520/1200 0.444285
19740521/1200 0.444285
19740522/1200 0.418720
19740523/1200 0.418720
19740524/1200 0.394101
19740525/1200 0.394101
19740526/1200 0.418720
19740527/1200 0.470811
19740528/1200 0.498311
19740529/1200 0.556294
19740530/1200 0.618348
19740531/1200 0.650937
19740601/1200 0.618348
19740602/1200 0.869215
19740603/1200 1.782113
19740604/1200 1.431973
19740605/1200 1.037393
19740606/1200 1.037393
19740607/1200 1.487007
19740608/1200 1.378237
19740609/1200 1.037393
19740610/1200 0.869215
19740611/1200 0.719309
19740612/1200 0.684586
19740613/1200 0.650937
19740614/1200 0.618348
19740615/1200 0.586805
19740616/1200 0.556294
19740617/1200 0.498311
19740618/1200 0.470811
19740619/1200 0.418720
19740620/1200 0.394101
19740621/1200 0.370413
19740622/1200 0.370413
19740623/1200 0.347641
19740624/1200 0.325771
19740625/1200 0.304787
19740626/1200 0.265418
19740627/1200 0.229412
19740628/1200 0.196644
19740629/1200 0.196644
19740630/1200 0.196644
19740701/1200 0.196644
19740702/1200 0.196644
19740703/1200 0.196644
19740704/1200 0.196644
19740705/1200 0.196644
19740706/1200 0.181436
19740707/1200 0.181436
19740708/1200 0.166989
19740709/1200 0.166989
19740710/1200 0.153288
19740711/1200 0.153288
19740712/1200 0.140317
19740713/1200 0.166989
19740714/1200 0.196644
19740715/1200 0.229412
19740716/1200 0.284674
19740717/1200 0.325771
19740718/1200 0.370413
19740719/1200 0.418720
19740720/1200 0.418720
19740721/1200 0.418720
19740722/1200 0.418720
19740723/1200 0.394101
19740724/1200 0.394101
19740725/1200 0.394101
19740726/1200 0.394101
19740727/1200 0.370413
19740728/1200 0.325771
19740729/1200 0.304787
19740730/1200 0.284674
19740731/1200 0.265418
19740801/1200 0.229412
19740802/1200 0.212631
19740803/1200 0.212631
19740804/1200 0.212631
19740805/1200 0.212631
19740806/1200 0.212631
19740807/1200 0.212631
19740808/1200 0.212631
19740809/1200 0.212631
19740810/1200 0.212631
19740811/1200 0.212631
19740812/1200 0.229412
19740813/1200 0.229412
19740814/1200 0.229412
19740815/1200 0.247002
19740816/1200 0.247002
19740817/1200 0.265418
19740818/1200 0.265418
19740819/1200 0.284674
19740820/1200 0.265418
19740821/1200 0.247002
19740822/1200 0.229412
19740823/1200 0.212631
19740824/1200 0.212631
19740825/1200 0.196644
19740826/1200 0.196644
19740827/1200 0.196644
19740828/1200 0.196644
19740829/1200 0.181436
19740830/1200 0.181436
19740831/1200 0.181436
19740901/1200 0.181436
19740902/1200 0.247002
19740903/1200 1.082394
19740904/1200 7.015886
19740905/1200 14.460388
19740906/1200 15.207287
19740907/1200 13.910196
19740908/1200 54.393654
19740909/1200 40.970039
19740910/1200 20.636345
19740911/1200 12.485386
19740912/1200 8.426650
19740913/1200 6.163995
19740914/1200 6.440267
19740915/1200 6.869070
19740916/1200 7.164663
19740917/1200 9.459099
19740918/1200 7.015886
19740919/1200 5.634097
19740920/1200 6.581271
19740921/1200 6.301178
19740922/1200 11.551345
19740923/1200 11.151278
19740924/1200 32.377079
19740925/1200 81.893570
19740926/1200 50.665108
19740927/1200 21.064705
19740928/1200 19.790297
19740929/1200 28.390591
