Messstelle:                Klösterle (Schwimmbad)
HZB-Nummer:                200071
HD-Nummer:                 
DBMS-Nummer:               8001007
Gewässer:                  Alfenz
Sachgebiet:                OWF
Dienststelle:              HD-Vorarlberg
orogr.Einzugsgebiet [km²]: 57.2
Pegelnullpunkt:
  gültig seit:             Höhe [m ü.A.]:
   01.01.1976              1070.00
   01.01.1979              1069.38
   01.01.1996              1069.38
Geographische Koordinaten:
  gültig seit:             Länge (Grad,Min,Sek):    Breite  (Grad,Min,Sek):
   01.01.1959              10 05 39                 47 07 52
Exportzeitreihe:           Abfluss,I,MIT,T,1,A,Z,0,
Exportqualität:            MAXQUAL
Einheit:                   m³/s
Exportzeitraum:            Beginn der ZR bis 01.01.2005 00:00:00
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werteformat:               3 Nachkommast.
Werte:
01.01.1961 00:00:00        0.730
02.01.1961 00:00:00        0.730
03.01.1961 00:00:00        0.730
04.01.1961 00:00:00        0.730
05.01.1961 00:00:00        0.730
06.01.1961 00:00:00        0.730
07.01.1961 00:00:00        0.670
08.01.1961 00:00:00        0.670
09.01.1961 00:00:00        0.670
10.01.1961 00:00:00        0.670
11.01.1961 00:00:00        0.670
12.01.1961 00:00:00        0.670
13.01.1961 00:00:00        0.670
14.01.1961 00:00:00        0.670
15.01.1961 00:00:00        0.730
16.01.1961 00:00:00        0.730
17.01.1961 00:00:00        0.730
18.01.1961 00:00:00        0.730
19.01.1961 00:00:00        0.730
20.01.1961 00:00:00        0.730
21.01.1961 00:00:00        0.730
22.01.1961 00:00:00        0.730
23.01.1961 00:00:00        0.730
24.01.1961 00:00:00        0.730
25.01.1961 00:00:00        0.730
26.01.1961 00:00:00        0.730
27.01.1961 00:00:00        0.730
28.01.1961 00:00:00        0.730
29.01.1961 00:00:00        0.670
30.01.1961 00:00:00        0.670
31.01.1961 00:00:00        0.800
01.02.1961 00:00:00        0.730
02.02.1961 00:00:00        0.730
03.02.1961 00:00:00        0.730
04.02.1961 00:00:00        0.730
05.02.1961 00:00:00        0.730
06.02.1961 00:00:00        0.730
07.02.1961 00:00:00        0.730
08.02.1961 00:00:00        0.730
09.02.1961 00:00:00        0.730
10.02.1961 00:00:00        0.730
11.02.1961 00:00:00        0.670
12.02.1961 00:00:00        0.670
13.02.1961 00:00:00        0.670
14.02.1961 00:00:00        0.670
15.02.1961 00:00:00        0.670
16.02.1961 00:00:00        0.670
17.02.1961 00:00:00        0.670
18.02.1961 00:00:00        0.730
19.02.1961 00:00:00        0.730
20.02.1961 00:00:00        0.730
21.02.1961 00:00:00        0.730
22.02.1961 00:00:00        0.730
23.02.1961 00:00:00        0.730
24.02.1961 00:00:00        0.730
25.02.1961 00:00:00        0.730
26.02.1961 00:00:00        0.730
27.02.1961 00:00:00        0.800
28.02.1961 00:00:00        0.800
01.03.1961 00:00:00        0.860
02.03.1961 00:00:00        0.800
03.03.1961 00:00:00        0.800
04.03.1961 00:00:00        0.800
05.03.1961 00:00:00        0.800
06.03.1961 00:00:00        0.800
07.03.1961 00:00:00        0.800
08.03.1961 00:00:00        0.800
09.03.1961 00:00:00        0.860
10.03.1961 00:00:00        0.860
11.03.1961 00:00:00        0.860
12.03.1961 00:00:00        0.860
13.03.1961 00:00:00        0.920
14.03.1961 00:00:00        1.020
15.03.1961 00:00:00        1.020
16.03.1961 00:00:00        1.110
17.03.1961 00:00:00        1.210
18.03.1961 00:00:00        1.400
19.03.1961 00:00:00        1.520
20.03.1961 00:00:00        1.300
21.03.1961 00:00:00        1.210
22.03.1961 00:00:00        1.110
23.03.1961 00:00:00        1.020
24.03.1961 00:00:00        1.020
25.03.1961 00:00:00        1.020
26.03.1961 00:00:00        1.020
27.03.1961 00:00:00        1.020
28.03.1961 00:00:00        1.020
29.03.1961 00:00:00        0.920
30.03.1961 00:00:00        1.020
31.03.1961 00:00:00        1.110
01.04.1961 00:00:00        1.210
